model	model_extra	dataset	dataset_extra	emb_dim	n_gallery	n_query	retriever_type	Recall@1	Recall@5	Recall@10	Dis@1	Dis@5	Dis@10	gallery_build_s	inference_ms_per_sample	vram_mb_peak_1sample
ft-dinov3-vitb-ssl4eo_ch-visloc	{'TTA': True, 'patch_rerank': True}	visloc	{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}	512	2860	768	ip+tta+patch-rerank	0.8697916666666666	0.95703125	0.9830729166666666	359.6437322172019	129.8868270230829	94.38355934320846	90.9370150109753	515.0958004873246	363.3759765625
ft-dinov3-vitb-ssl4eo_ch-visloc	{'TTA': True, 'patch_rerank': False}	visloc	{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}	512	2860	768	ip+tta	0.8541666666666666	0.9401041666666666	0.9700520833333334	385.713049958897	155.03937699980472	107.21093464132048	92.6329374751076	599.7031416278332	363.3759765625
ft-dinov3-vitb-ssl4eo_ch-visloc	{'TTA': False, 'patch_rerank': True}	visloc	{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}	512	2860	768	ip+tta+patch-rerank	0.8424479166666666	0.9309895833333334	0.9661458333333334	416.06255053510887	189.0941673592453	119.51444244780804	48.154797764495015	509.45915561169386	359.3701171875
ft-dinov3-vitb-visloc	{'TTA': True, 'patch_rerank': True}	visloc	{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}	512	2860	768	ip+tta+patch-rerank	0.8190104166666666	0.9153645833333334	0.95703125	430.45196370612126	194.94600375849816	137.34676730621163	102.08327026851477	525.2314378973097	363.3759765625
ft-dinov3-vitb-ssl4eo_ch-visloc	{'TTA': False, 'patch_rerank': False}	visloc	{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}	512	2860	768	ip+tta	0.80859375	0.9049479166666666	0.9479166666666666	466.79700180358896	238.4793162763924	146.20308410918133	47.14326250739396	460.4141495190561	359.3701171875
ft-dinov3-vitb-visloc	{'TTA': True, 'patch_rerank': False}	visloc	{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}	512	2860	768	ip+tta	0.8059895833333334	0.91015625	0.9453125	491.94247335731615	229.49233656125088	164.25670026028658	97.86643981747328	567.1728685032576	363.3759765625
ft-dinov3-vitb-visloc	{'TTA': False, 'patch_rerank': True}	visloc	{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}	512	2860	768	ip+tta+patch-rerank	0.7916666666666666	0.8828125	0.93359375	465.3302296972429	242.63558864527954	155.1204050175474	48.612192219123244	495.5194271169603	359.3701171875
ft-dinov3-vitb-visloc	{'TTA': False, 'patch_rerank': False}	visloc	{'flight_id': '03', 'chunk_pixels': 512, 'chunk_stride': 128, 'map_scale_factor': 0.25}	512	2860	768	ip+tta	0.76171875	0.8880208333333334	0.9296875	518.8546832528315	235.7409717515368	175.78748243141703	47.27698145247996	484.85006033442914	359.3701171875
