Positive chunk definition,Baseline R@1,Reranked R@1
bbox,0.8541666666666666,0.8697916666666666
400m,0.8645833333333334,0.8828125
300m,0.8450520833333334,0.8658854166666666
200m,0.7578125,0.796875
150m,0.6315104166666666,0.6770833333333334
100m,0.4075520833333333,0.4557291666666667
50m,0.2786458333333333,0.3203125
10m,0.2786458333333333,0.3203125
